Name,URL,Stars,Quality,Score,HasContent,RecentUpdate,IsArchived,Language,Category,Subcategory,Reasons
"React","https://github.com/facebook/react",242844,"excellent",7,true,true,false,"JavaScript","JavaScript (10 Skills)","","All criteria met"
"Vue.js","https://github.com/vuejs/core",52917,"excellent",7,true,true,false,"TypeScript","JavaScript (10 Skills)","","All criteria met"
"Next.js","https://github.com/vercel/next.js",137553,"excellent",7,true,true,false,"JavaScript","JavaScript (10 Skills)","","All criteria met"
"Svelte","https://github.com/sveltejs/svelte",85704,"excellent",7,true,true,false,"JavaScript","JavaScript (10 Skills)","","All criteria met"
"Three.js","https://github.com/mrdoob/three.js",110758,"excellent",7,true,true,false,"JavaScript","JavaScript (10 Skills)","","All criteria met"
"Vite","https://github.com/vitejs/vite",78017,"excellent",7,true,true,false,"TypeScript","JavaScript (10 Skills)","","All criteria met"
"Nuxt","https://github.com/nuxt/nuxt",59535,"excellent",7,true,true,false,"TypeScript","JavaScript (10 Skills)","","All criteria met"
"Express.js","https://github.com/expressjs/express",68671,"excellent",7,true,true,false,"JavaScript","JavaScript (10 Skills)","","All criteria met"
"Redux","https://github.com/reduxjs/redux",61449,"excellent",7,true,true,false,"TypeScript","JavaScript (10 Skills)","","All criteria met"
"Axios","https://github.com/axios/axios",108569,"excellent",7,true,true,false,"JavaScript","JavaScript (10 Skills)","","All criteria met"
"TypeScript","https://github.com/microsoft/TypeScript",107712,"excellent",7,true,true,false,"TypeScript","TypeScript (10 Skills)","","All criteria met"
"Angular","https://github.com/angular/angular",99811,"excellent",7,true,true,false,"TypeScript","TypeScript (10 Skills)","","All criteria met"
"NestJS","https://github.com/nestjs/nest",74477,"excellent",7,true,true,false,"TypeScript","TypeScript (10 Skills)","","All criteria met"
"VS Code","https://github.com/microsoft/vscode",181484,"excellent",7,true,true,false,"TypeScript","TypeScript (10 Skills)","","All criteria met"
"Docusaurus","https://github.com/facebook/docusaurus",63695,"excellent",7,true,true,false,"TypeScript","TypeScript (10 Skills)","","All criteria met"
"Prisma","https://github.com/prisma/prisma",45234,"excellent",7,true,true,false,"TypeScript","TypeScript (10 Skills)","","All criteria met"
"Zod","https://github.com/colinhacks/zod",41747,"excellent",7,true,true,false,"TypeScript","TypeScript (10 Skills)","","All criteria met"
"tRPC","https://github.com/trpc/trpc",39502,"excellent",7,true,true,false,"TypeScript","TypeScript (10 Skills)","","All criteria met"
"Effect-TS","https://github.com/Effect-TS/effect",13142,"excellent",7,true,true,false,"TypeScript","TypeScript (10 Skills)","","All criteria met"
"Biome","https://github.com/biomejs/biome",23470,"excellent",7,true,true,false,"Rust","TypeScript (10 Skills)","","All criteria met"
"Django","https://github.com/django/django",86700,"excellent",7,true,true,false,"Python","Python (10 Skills)","","All criteria met"
"FastAPI","https://github.com/tiangolo/fastapi",78k+,"unknown",0,undefined,undefined,undefined,"","Python (10 Skills)","",""
"Flask","https://github.com/pallets/flask",71138,"excellent",7,true,true,false,"Python","Python (10 Skills)","","All criteria met"
"Requests","https://github.com/psf/requests",53713,"excellent",7,true,true,false,"Python","Python (10 Skills)","","All criteria met"
"Pytest","https://github.com/pytest-dev/pytest",13540,"excellent",7,true,true,false,"Python","Python (10 Skills)","","All criteria met"
"Pydantic","https://github.com/pydantic/pydantic",26704,"excellent",7,true,true,false,"Python","Python (10 Skills)","","All criteria met"
"Celery","https://github.com/celery/celery",27977,"excellent",7,true,true,false,"Python","Python (10 Skills)","","All criteria met"
"Poetry","https://github.com/python-poetry/poetry",34188,"excellent",7,true,true,false,"Python","Python (10 Skills)","","All criteria met"
"httpx","https://github.com/encode/httpx",14976,"excellent",7,true,true,false,"Python","Python (10 Skills)","","All criteria met"
"Black","https://github.com/psf/black",41357,"excellent",7,true,true,false,"Python","Python (10 Skills)","","All criteria met"
"Gin","https://github.com/gin-gonic/gin",87917,"excellent",7,true,true,false,"Go","Go (10 Skills)","","All criteria met"
"Echo","https://github.com/labstack/echo",32134,"excellent",7,true,true,false,"Go","Go (10 Skills)","","All criteria met"
"GORM","https://github.com/go-gorm/gorm",39473,"excellent",7,true,true,false,"Go","Go (10 Skills)","","All criteria met"
"Cobra","https://github.com/spf13/cobra",43094,"excellent",7,true,true,false,"Go","Go (10 Skills)","","All criteria met"
"Viper","https://github.com/spf13/viper",29956,"excellent",7,true,true,false,"Go","Go (10 Skills)","","All criteria met"
"Fiber","https://github.com/gofiber/fiber",39132,"excellent",7,true,true,false,"Go","Go (10 Skills)","","All criteria met"
"go-zero","https://github.com/zeromicro/go-zero",32592,"excellent",7,true,true,false,"Go","Go (10 Skills)","","All criteria met"
"testify","https://github.com/stretchr/testify",25749,"excellent",7,true,true,false,"Go","Go (10 Skills)","","All criteria met"
"zap","https://github.com/uber-go/zap",24213,"excellent",7,true,true,false,"Go","Go (10 Skills)","","All criteria met"
"air","https://github.com/cosmtrek/air",16k+,"unknown",0,undefined,undefined,undefined,"","Go (10 Skills)","",""
"Vite","https://github.com/vitejs/vite",78017,"excellent",7,true,true,false,"TypeScript","Build Tools & Bundlers (10 Skills)","","All criteria met"
"esbuild","https://github.com/evanw/esbuild",39684,"excellent",7,true,true,false,"Go","Build Tools & Bundlers (10 Skills)","","All criteria met"
"Webpack","https://github.com/webpack/webpack",65947,"excellent",7,true,true,false,"JavaScript","Build Tools & Bundlers (10 Skills)","","All criteria met"
"Rollup","https://github.com/rollup/rollup",26224,"excellent",7,true,true,false,"JavaScript","Build Tools & Bundlers (10 Skills)","","All criteria met"
"Rspack","https://github.com/web-infra-dev/rspack",12456,"excellent",7,true,true,false,"Rust","Build Tools & Bundlers (10 Skills)","","All criteria met"
"SWC","https://github.com/swc-project/swc",33209,"excellent",7,true,true,false,"Rust","Build Tools & Bundlers (10 Skills)","","All criteria met"
"Turbopack","https://github.com/vercel/next.js",137553,"excellent",7,true,true,false,"JavaScript","Build Tools & Bundlers (10 Skills)","","All criteria met"
"Rsbuild","https://github.com/web-infra-dev/rsbuild",3188,"excellent",7,true,true,false,"TypeScript","Build Tools & Bundlers (10 Skills)","","All criteria met"
"Babel","https://github.com/babel/babel",43877,"excellent",7,true,true,false,"TypeScript","Build Tools & Bundlers (10 Skills)","","All criteria met"
"PostCSS","https://github.com/postcss/postcss",28949,"excellent",7,true,true,false,"TypeScript","Build Tools & Bundlers (10 Skills)","","All criteria met"
"Bootstrap","https://github.com/twbs/bootstrap",173978,"excellent",7,true,true,false,"MDX","CSS Frameworks & UI Libraries (10 Skills)","","All criteria met"
"Tailwind CSS","https://github.com/tailwindlabs/tailwindcss",93407,"excellent",7,true,true,false,"TypeScript","CSS Frameworks & UI Libraries (10 Skills)","","All criteria met"
