Name,URL,Status,Success,Duration(ms),Stars,Category,Subcategory,SourceFile,Error
"React","https://github.com/facebook/react",200,true,972,"220k+","JavaScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Vue.js","https://github.com/vuejs/core",200,true,833,"46k+","JavaScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Next.js","https://github.com/vercel/next.js",200,true,982,"125k+","JavaScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Svelte","https://github.com/sveltejs/svelte",200,true,1007,"78k+","JavaScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Three.js","https://github.com/mrdoob/three.js",200,true,913,"100k+","JavaScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Vite","https://github.com/vitejs/vite",200,true,1060,"66k+","JavaScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Nuxt","https://github.com/nuxt/nuxt",200,true,912,"53k+","JavaScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Express.js","https://github.com/expressjs/express",200,true,1132,"64k+","JavaScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Redux","https://github.com/reduxjs/redux",200,true,1018,"60k+","JavaScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Axios","https://github.com/axios/axios",200,true,909,"103k+","JavaScript (10 Skills)","","skill-research-phase5-batch1.md",""
"TypeScript","https://github.com/microsoft/TypeScript",200,true,931,"102k+","TypeScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Angular","https://github.com/angular/angular",200,true,988,"96k+","TypeScript (10 Skills)","","skill-research-phase5-batch1.md",""
"NestJS","https://github.com/nestjs/nest",200,true,834,"67k+","TypeScript (10 Skills)","","skill-research-phase5-batch1.md",""
"VS Code","https://github.com/microsoft/vscode",200,true,959,"160k+","TypeScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Docusaurus","https://github.com/facebook/docusaurus",200,true,1017,"55k+","TypeScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Prisma","https://github.com/prisma/prisma",200,true,1050,"38k+","TypeScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Zod","https://github.com/colinhacks/zod",200,true,1035,"32k+","TypeScript (10 Skills)","","skill-research-phase5-batch1.md",""
"tRPC","https://github.com/trpc/trpc",200,true,956,"34k+","TypeScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Effect-TS","https://github.com/Effect-TS/effect",200,true,899,"6k+","TypeScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Biome","https://github.com/biomejs/biome",200,true,990,"45k+","TypeScript (10 Skills)","","skill-research-phase5-batch1.md",""
"Django","https://github.com/django/django",200,true,989,"80k+","Python (10 Skills)","","skill-research-phase5-batch1.md",""
"FastAPI","https://github.com/tiangolo/fastapi",200,true,1009,"78k+","Python (10 Skills)","","skill-research-phase5-batch1.md",""
"Flask","https://github.com/pallets/flask",200,true,843,"67k+","Python (10 Skills)","","skill-research-phase5-batch1.md",""
"Requests","https://github.com/psf/requests",200,true,837,"53k+","Python (10 Skills)","","skill-research-phase5-batch1.md",""
"Pytest","https://github.com/pytest-dev/pytest",200,true,930,"12k+","Python (10 Skills)","","skill-research-phase5-batch1.md",""
"Pydantic","https://github.com/pydantic/pydantic",200,true,923,"22k+","Python (10 Skills)","","skill-research-phase5-batch1.md",""
"Celery","https://github.com/celery/celery",200,true,1015,"24k+","Python (10 Skills)","","skill-research-phase5-batch1.md",""
"Poetry","https://github.com/python-poetry/poetry",200,true,894,"31k+","Python (10 Skills)","","skill-research-phase5-batch1.md",""
"httpx","https://github.com/encode/httpx",200,true,901,"15k+","Python (10 Skills)","","skill-research-phase5-batch1.md",""
"Black","https://github.com/psf/black",200,true,867,"38k+","Python (10 Skills)","","skill-research-phase5-batch1.md",""
"Gin","https://github.com/gin-gonic/gin",200,true,910,"81k+","Go (10 Skills)","","skill-research-phase5-batch1.md",""
